,Discription,Name,Age,Date,Sex,Size,Color,Education,Breed,Adjusted to
0,"וגאס ננטש כמו חפץ משומש אחרי שחי כל חייו בבית. יפיוף שריסקו את הלב שלו לאלף ואחת חתיכות. וגאס לוקח חלק בפרוייקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כולל טיפולים מותאמים לגילו ושני שקי מזון מתנת ביופט – אוהבים כלבים.וגאס לחוץ מאוד במפגש ראשון ולכן גם ינבח מלא כשתעברו ליד הכלוב שלו. תוציאו אותו לסיבוב של הכרות, הוא יפתח לאהבה, תעשו #מקוםבלב ובואו נוציא אותו הביתה לתמיד..",וגאס,9,11-07-2014,זכר,בינוני,לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
1,"היא אחת המדהימות שיש, אוהבת לשחק ובלי סוף להתפנק אבל לילה ננטשה כבר משלושה בתים (!!) כי היתה טריטוריאלית בבית לאורחים. לילה עכשיו מחכה למאמצים עם ניסיון, אנחנו מבטיחים שהיא תעניק אהבה- והמון!.",לילה,3 שנים,20-02-2020,נקבה,בינוני,שחור,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
2,"הכי מיוחד ומדהים שיש, כמה עדינות ומתיקות, ועיניים שמדברות ורוצות כבר להגיע לבית מפנק. מארלי המתוק, כלבלב שמסתובב על 3 רגליים וכבר יותר מדי זמן, לא מוצא לעצמו בית. הוא מאוד אוהב לשחק עם חבריו הכלבים, הוא נפתח בעדינות והופך לממרח, עם קצת סבלנות..",מארלי,שנה,22-03-2022,זכר,בינוני,שחור,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
3,"כלבלבונת עם עיינים עצובות, קרינה נמצאה עם הגורים שלה והניקה אותם וטיפלה בהם במסירות ואהבה. מבני אדם היא חוששת. נראה שחוותה הרבה והיתה צריכה לשמור על עצמה. היא זקוקה למאמצים עם ניסיון וסבלנות, שיתנו לה, בזמן שלה, ללמוד לבטוח ולהפתח לאהבה שכל כך מגיעה לה..",קרינה,שנתיים,10-02-2022,נקבה,בינוני,חום,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
4,"כשתעברו ליד הכלוב של קוקי, רב הסיכויים הם שלא תראו אותה. וחבל. כי מדובר בבובה אמיתית, פשוט סופר ביישנית. אז כשעוברים אנשים היא נובחת ובורחת אחורה והמתיקות הבלתי נגמר בכלוב לבדה נשארת…תגיעו אלינו ותבקשו להכיר את קוקי! ילדונת חמודה, עדינה ומקסימה.",קוקי,שנתיים,07-03-2021,נקבה,בינוני,שחור לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
5,"במשך יותר מדי זמן, ציון הסתובב עם רגליים שבורות וכואבות. אנחנו יודעים שזה המון זמן, כי כבר נוצר בגופו זיהום מסוכן. שבועות ארוכים הוא היה מאושפז, טופל והחלים לגמרי ואי אפשר לתאר במילים את האושר, כשרואים אותו הולך ומחייך..כשאתה לבד ואף אחד לא עוזר לך, אתה מסתדר וכבר חושד בכולם. וציון שלנו, בעקבות הנסיון לשרוד, ללא הצלחה, לבדו, מתקשה כעת גם לסמוך על בני אדם. אז הוא צריך להכיר לאט, להסיר חומות לאט, ואז נחשף הלב הרגיש שזקוק לאהבה, כמו כל אחד..",ציון,4 שנים,01-02-2020,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
6,"ליזה המתוקה הגיעה אלינו מהדרום הרחוק, כמעט ללא פרווה, היתה כל כך חלשה ואומללה. היא סבלה ממחלת עור, טופלה, החלימה והצמיחה פרווה חדשה, אבל הלב נותר חושש נורא. כלבה עדינה שזקוקה לכמה מפגשים כדי להפתח והכי שווה את ההשקעה..",ליזה,שנתיים,16-11-2021,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
7,"הממתק העדין הזה הגיע אלינו אחרי שחתכו לו את האוזניים והזנב באכזריות בלתי נתפסת! מאוריצ'יו המתוק, מאז, בצדק, חושש מבני אדם. אבל הוא עבר תהליך מדהים, הוא לומד לתת אמון ונתפח למגע ואהבה, שזה מרגש כל כך..הוא מחונך, מאולף, ורק זקוק לקצת סבלנות כדי שיפרח.",מאוריציו,שנה,01-06-2022,זכר,בינוני,שחור לבן,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, בית עם חתולים, ילדים, ספורטאים"
8,"את אינדירה המקסימה הוצאנו מכלביית המוות בצור משה, אחרי שסגרו את הכלבייה כי התנאים היו מזעזעים והתעללו שם בכלבים. המקסימה הזאת, אין לדעת מה חוותה בידי המפלצות, אבל ברור שמגיע לה עכשיו לזכות בכי טוב שיש! היא זקוקה למאמצים עם סבלנות ונסיון לתקן לב מדמם שמגיע לו להחלים ולהתאהב..",אינדירה,5 שנים,06-02-2019,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
9,"כשמשחררים אותך אחרי שהיית קשור במשך כל כך הרבה זמן- איך לא תהיה כזה מאושר?.בון המהמם שלנו, נמצא בתור גור קטן בתוך פח זבל. אחר כך אומץ והיה קשור כל חייו בחצר הבית ואז ננטש. כמה סבל אפשר להעביר נפש טהורה כל כך..אהוב מקסים, שכל חייו סבל וכל כך מגיע לו להיות מאושר. הוא אוהב לטייל וכל כך מתוסכל כשהטיול נגמר והוא צריך לחזור לכלוב. הוא ינבח מלא כשתעברו ליד הכלוב שלו, אבל אם תתנו לו הזדמנות, תצאו איתו לטיול ותכירו אותו באמת, תגלו שם את אותו גור קטן שבסך הכל רוצה שיאהבו אותו ויתנו לו בית מחבק ואוהב באמת..בון לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים, בהתאם לגילו, עלינו ו-2 שקי מזון.",בון,8 שנים,23-06-2015,זכר,בינוני,חום לבן,מאולף,"מעורב, כנעני","אנשים שכבר גדלו כלב בעבר, ספורטאים"
