,Discription,Name,Age,Date,Sex,Size,Color,Education,Breed,Adjusted to,Image,Link
0,"אנחנו לא יודעים כמה זמן נשאר לעלמה לחיות. זאת האמת. המדהימה הזאת, עם שמחת החיים הזאת, לא הצליחה להתרומם על הרגליים לפני מספר ימים ובבדיקה נמצא שהיא סובלת מניוון שרירים. אם תסתכלו בסרטון, תראו את פלג גופה האחורי חלש. עם הזמן, גם שאר השרירים בגוף ילכו וייחלשו. לצערנו, במקרה של ניוון שרירים אין שום תרופה שיכולה לעזור לעלמה שלנו. עלמה היא כלבה שמחכה כבר שנים לצאת מכאן. היא מסרבת להזדקן, היא מסרבת להיות ""חולה"" אנחנו כל כך רוצים שאת הזמן שנשאר לה לחיות, לא תעביר בכלבייה. עלמה לוקחת חלק בפרויקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים/חולים שלנו, כולל טיפולים רפואיים ו-2 שקי מזון מתנת ביופט – אוהבים כלבים.",עלמה,8 שנים,24-02-2016,נקבה,בינוני,בז',חינוך בסיסי,"מעורב, מלינוואה","ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2023/06/alma-5-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a2%d7%9c%d7%9e%d7%94-5
1,"גולו מתוקולו! כלבלבונת משגעת שהגיעה אלינו עם שבר כואב בלסת. היא נותחה כמו גדולה, החלימה בענק ועכשיו משתובב ומחלקת נשיקות ואהבה לכל מי שבסביבה..",גולו,שנה,06-07-2022,נקבה,בינוני,חום שחור,חינוך בסיסי,מעורב,"בית עם חתולים, ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2023/12/gulu-13-330x330.jpg,https://www.letlive.org.il/?pet=%d7%92%d7%95%d7%9c%d7%95
2,"חובב הוא כלבלב עם לב זהב, שננטש מבית שלא העריך את הממתק העדין והמתוק שיש בו אהבה בלי סוף.",חובב,6 שנים,11-07-2017,זכר,גדול,שחור לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2023/05/hovav-330x330.jpg,https://www.letlive.org.il/?pet=%d7%97%d7%95%d7%91%d7%91-2
3,שוקו הממתק. כלבלבון שנמצא משוטט לבדו עצוב נורא. הגיע אלינו ומאז מפזר מתיקות וחמידות בלי הפסקה..,שוקו,שנתיים,23-03-2022,זכר,בינוני,שחור לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2024/03/shoko-16-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a9%d7%95%d7%a7%d7%95-7
4,"נוימן המתוק אומץ בתור גור ואז לדברי משפחתו ""זה לא הסתדר"" והאומלל חזר לכלוב. אחר כך הוא שוב אומץ ואז שוב ננטש, כי היה עם אב יחדני שהחליט,אחרי 4 שנים, שזה לא מתאים לו עכשיו. כמה אפשר להעביר נפש אחת טהורה? כמה אפשר לטלטל כלב שבסך הכל רוצה אהבה. כלב מקסים שמחכה, אחת ולתמיד, למשפחה שמבינה שלאמץ זה לכל החיים! נוימן לוקח חלק בפרויקט #אומנהלחיים, אימוץ ללא עלות, כולל טיפולים רפואיים בהתאם לגילו, עלינו ו-2 שקי מזון גדולים מתנת אורבן צ'ויס..",נוימן,7 שנים,12-10-2016,זכר,גדול,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2019/12/noima-6-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a0%d7%95%d7%99%d7%9e%d7%9f
5,"פיניקס הגיע אלינו בתור גור קטן, אומץ ואחרי 10 חודשים ננטש מבית. הוא כלב מאוד חששן וחשדן שזקוק לסביבה רגועה, סבלנית ואוהבת. פיניקס גר בעיר ולא הסתדר עם הרעש וההמולה שמסביב, הוא היה בבית עם ילדים אבל נראה שעדיף לו להיות בבית שיש בו בעיקר שקט. כלב מקסים שזקוק למאמצים עם ניסיון וסבלנות.",פיניקס,4 שנים,05-06-2019,זכר,גדול,שחור לבן,חינוך בסיסי,"מעורב, בורדר קולי","ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים",https://www.letlive.org.il/wp-content/uploads/2021/10/fini-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a4%d7%99%d7%a0%d7%99%d7%a7%d7%a1-2
6,"סנופי ננטש מבית כי מאוד שומר על מי שאוהב ועל כך נענש ובגיל 10 לכלוב ננטש. ימי הקיץ הלוהטים, לא השאירו הקיץ טיפת חמלה, בליבם של בני האדם וסנופי מצטרף לרשימה ארוכה מדי של כלבים מבוגרים שבמקום שיזדקנו בכבוד, במזגן, כלואים בחום מאחורי הסורגים..סנופי לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים בהתאם גילו-עלינו ו-2 שקי מזון גדולים מתנת ביופט..",סנופי,10 שנים,07-08-2013,זכר,בינוני,לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים",https://www.letlive.org.il/wp-content/uploads/2023/08/snopy-1-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a1%d7%a0%d7%95%d7%a4%d7%99-3
7,"הוא עדין ומתוק, הוא קצת הולך לאיבוד בין מאות כלבלבים, הוא ביישן במפגש ראשון, אבל הוא הכי שווה את ההשקעה שלכם, כי מדובר במתיקות אמיתית. זאודיק הנסיך, הגיע אלינו בתור גור קטן ולמעלה משנה מחכה לבית סבלני ואוהב. הוא עבר תהליך מדהים, אבל עדיין זקוק למאמצים שיפתחו עבורו את הלב, שיהיו סבלניים ויתנו לו את הזמן להפתח ולהוציא את החמידות שמסתתרת בפנים..",זאודיק,3 שנים,05-08-2020,זכר,גדול,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים",https://www.letlive.org.il/wp-content/uploads/2023/09/zaudik-2-330x330.jpg,https://www.letlive.org.il/?pet=%d7%96%d7%90%d7%95%d7%93%d7%99%d7%a7
8,ראינה המתוקה. כלבלבונת שנמצאה משוטטת לבדה והיתה מאוד עצובה ומבולבלת. היא הגיעה אלינו ומכאן רוצה להרגיש מוגנת ואהובה עם משפחה מפנקת..,ראינה,שנה,01-12-2022,נקבה,בינוני,שחור לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2024/03/raina-3-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a8%d7%90%d7%99%d7%a0%d7%94
9,"פאולה ההמהממת! יפה ברמות אחרות, כלבה מקסימה, ננטשה מבית בטענה שראקטיבית מדי ולכן עכשיו מחכה למאמצים עם ניסיון, שידעו לעבוד איתה נכון ולהבטיח לה בית לתמיד, כי האהבה שלה שווה את הכל..",פאולה,שנה,19-10-2022,נקבה,בינוני,חום,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2024/03/paula-15-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a4%d7%90%d7%95%d7%9c%d7%94
